n,
i,allarmare,v.tr.
n,allarme,s.m.
i,allattare,v.tr.
n,alleanza,s.f.
i,allearsi,v.pronom.intr.
n,alleato,p.pass.;agg.;s.m.
n,1allegato,p.pass.;agg.;s.m.
i,alleggerire,v.tr.
n,allegria,s.f.
n,allegro,agg.;avv.;s.m.
n,allenamento,s.m.
n,1allenare,v.tr.
n,allenatore,agg.;s.m.
i,allentare,v.tr.
i,allergia,s.f.
n,1allevare,v.tr.
n,1allievo,s.m.
i,allineare,v.tr.
n,alloggio,s.m.
b,allontanare,v.tr.
b,allora,avv.;cong.
i,alluce,s.m.
n,alludere,v.intr.
i,alluminio,s.m.
b,allungare,v.tr.;v.intr.
i,alluvione,s.f.
b,almeno,avv.
n,alquanto,agg.indef.;pron.indef.;avv.
i,altalena,s.f.
n,altamente,avv.
n,altare,s.m.
n,alterare,v.tr.
n,alternare,v.tr.;intr.
n,alternativa,s.f.
n,alternativo,agg.
i,alterno,agg.
b,altezza,s.f.
b,1alto,agg.;s.m.;avv.
i,altoatesino,agg.;s.m.
i,altopiano,s.m.
b,altrettanto,agg.indef.;pron.indef.;avv.
b,altrimenti,avv.
b,altro,agg.indef.;pron.indef.m.;avv.
n,altrove,avv.
n,altrui,agg.poss.inv.;pron.indef.inv.
n,alunno,s.m.
i,alveare,s.m.
b,alzare,v.tr.
b,1amante,p.pres.;agg.;s.m.;f.
b,amare,v.tr.
n,amaro,agg.;s.m.
n,amato,p.pass.;agg.;s.m.
i,1ambasciata,s.f.
b,ambientale,agg.
n,ambientare,v.tr.
b,ambiente,s.m.;agg.
b,1ambito,s.m.
n,ambizione,s.f.
n,ambulanza,s.f.
b,americano,agg.;s.m.
b,amicizia,s.f.
b,amico,agg.;s.m.
i,ammaccare,v.tr.
n,ammalarsi,v.pronom.intr.
i,ammalato,p.pass.;agg.;s.m.
i,ammanettare,v.tr.
i,ammassare,v.tr.
i,ammasso,s.m.
b,ammazzare,v.tr.
b,ammettere,v.tr.
n,amministrativo,agg.;s.m.
n,amministratore,s.m.
b,amministrazione,s.f.
n,ammirare,v.tr.;v.intr.
n,ammissione,s.f.
i,ammobiliare,v.tr.
i,ammoniaca,s.f.
i,ammorbidente,p.pres.;agg.;s.m.
i,ammucchiare,v.tr.
i,ammuffire,v.intr.
b,amore,s.m.
n,amoroso,agg.;s.m.
n,ampiamente,avv.
b,ampio,agg.;s.m.
i,amplificatore,agg.;s.m.
i,analcolico,agg.;s.m.
i,analfabeta,agg.;s.m.;f.
b,analisi,s.f.inv.
n,analitico,agg.
b,analizzare,v.tr.
n,analogo,agg.
i,ananas,s.m.inv.
i,anarchico,agg.;s.m.
i,anatra,s.f.
b,anche,cong.;avv.
i,anconetano,agg.;s.m.
b,2ancora,avv.;cong.
n,ancorare,v.tr.
n,andamento,s.m.
b,1andare,v.intr.
i,andata,s.f.
b,anello,s.m.
b,angelo,s.m.
n,1angolare,agg.;s.m.
b,angolo,s.m.
n,angoscia,s.f.
b,anima,s.f.
b,1animale,s.m.
n,2animale,agg.
b,animare,v.tr.
n,animato,p.pass.;agg.;avv.
n,animo,s.m.;inter.
i,annacquare,v.tr.
i,annaffiare,v.tr.
i,annebbiare,v.tr.;intr.
n,anniversario,s.m.;agg.
b,anno,s.m.
i,annodare,v.tr.
n,annoiare,v.tr.
n,annotare,v.tr.
n,annuale,agg.;s.m.
